[02-Feb-2009 18:44:54] PHP Warning:  getimagesize(images//libraries/tcpdfstories//libraries/tcpdfquotes//libraries/tcpdfgreen_thecompany.gif): failed to open stream: No such file or directory in /libraries/tcpdf/tcpdf.php on line 3694
[10-Feb-2009 04:28:47] PHP Warning:  getimagesize(): php_network_getaddresses: getaddrinfo failed: No address associated with hostname in /libraries/tcpdf/tcpdf.php on line 3672
[10-Feb-2009 04:28:47] PHP Warning:  getimagesize(http://libraries/tcpdf//libraries/tcpdfcdp.mscmalaysia.my//libraries/tcpdfimages//libraries/tcpdfmdeclogo.jpg): failed to open stream: Undefined error: 0 in /libraries/tcpdf/tcpdf.php on line 3672
[11-Feb-2009 02:07:35] PHP Warning:  getimagesize(images//libraries/tcpdfstories//libraries/tcpdfclients//libraries/tcpdfph-trend-micro.jpg): failed to open stream: No such file or directory in /libraries/tcpdf/tcpdf.php on line 3672
[11-Feb-2009 02:07:46] PHP Warning:  getimagesize(images//libraries/tcpdfstories//libraries/tcpdfquotes//libraries/tcpdfgreen_thecompany.gif): failed to open stream: No such file or directory in /libraries/tcpdf/tcpdf.php on line 3694
[11-Feb-2009 02:07:48] PHP Warning:  getimagesize(images//libraries/tcpdfstories//libraries/tcpdfquotes//libraries/tcpdfecci_consultants.gif): failed to open stream: No such file or directory in /libraries/tcpdf/tcpdf.php on line 3694
[11-Feb-2009 02:08:02] PHP Warning:  getimagesize(images//libraries/tcpdfstories//libraries/tcpdfquotes//libraries/tcpdfconsulting.jpg): failed to open stream: No such file or directory in /libraries/tcpdf/tcpdf.php on line 3672
[11-Feb-2009 23:57:30] PHP Warning:  getimagesize(images//libraries/tcpdfstories//libraries/tcpdfquotes//libraries/tcpdfecci_ms_ourframework.gif): failed to open stream: No such file or directory in /libraries/tcpdf/tcpdf.php on line 3694
[11-Feb-2009 23:58:08] PHP Warning:  getimagesize(images//libraries/tcpdfstories//libraries/tcpdfquotes//libraries/tcpdfecci_ms_ourframework.gif): failed to open stream: No such file or directory in /libraries/tcpdf/tcpdf.php on line 3694
[11-Feb-2009 23:58:27] PHP Warning:  getimagesize(images//libraries/tcpdfstories//libraries/tcpdfquotes//libraries/tcpdfecci_ms_ourframework.gif): failed to open stream: No such file or directory in /libraries/tcpdf/tcpdf.php on line 3694
[12-Feb-2009 00:00:47] PHP Warning:  getimagesize(images//libraries/tcpdfstories//libraries/tcpdfquotes//libraries/tcpdfecci_ms_ourframework.gif): failed to open stream: No such file or directory in /libraries/tcpdf/tcpdf.php on line 3694
[12-Feb-2009 00:01:38] PHP Warning:  fopen(images//libraries/tcpdfprime-logo.png): failed to open stream: No such file or directory in /libraries/tcpdf/tcpdf.php on line 3717
[12-Feb-2009 00:07:04] PHP Warning:  getimagesize(images//libraries/tcpdfstories//libraries/tcpdfquotes//libraries/tcpdfecci_ms_ourframework.gif): failed to open stream: No such file or directory in /libraries/tcpdf/tcpdf.php on line 3694
[12-Feb-2009 00:07:41] PHP Warning:  getimagesize(images//libraries/tcpdfstories//libraries/tcpdfquotes//libraries/tcpdfconsulting.jpg): failed to open stream: No such file or directory in /libraries/tcpdf/tcpdf.php on line 3672
[12-Feb-2009 00:07:54] PHP Warning:  getimagesize(images//libraries/tcpdfstories//libraries/tcpdfclients//libraries/tcpdfph-trend-micro.jpg): failed to open stream: No such file or directory in /libraries/tcpdf/tcpdf.php on line 3672
[12-Feb-2009 00:08:04] PHP Warning:  getimagesize(images//libraries/tcpdfsafethailogo.jpg): failed to open stream: No such file or directory in /libraries/tcpdf/tcpdf.php on line 3672
[12-Feb-2009 00:08:54] PHP Warning:  getimagesize(images//libraries/tcpdfstories//libraries/tcpdfquotes//libraries/tcpdfecci_ms_ourframework.gif): failed to open stream: No such file or directory in /libraries/tcpdf/tcpdf.php on line 3694
[12-Feb-2009 00:10:51] PHP Warning:  fopen(images//libraries/tcpdfstories//libraries/tcpdfquotes//libraries/tcpdfecci_citibank.png): failed to open stream: No such file or directory in /libraries/tcpdf/tcpdf.php on line 3717
[12-Feb-2009 00:11:24] PHP Warning:  getimagesize(images//libraries/tcpdfstories//libraries/tcpdfquotes//libraries/tcpdfit-excellence.jpg): failed to open stream: No such file or directory in /libraries/tcpdf/tcpdf.php on line 3672
[12-Feb-2009 00:13:23] PHP Warning:  getimagesize(images//libraries/tcpdfstories//libraries/tcpdfquotes//libraries/tcpdfecci_ms_ourframework.gif): failed to open stream: No such file or directory in /libraries/tcpdf/tcpdf.php on line 3694
[12-Feb-2009 00:15:40] PHP Warning:  getimagesize(images//libraries/tcpdfstories//libraries/tcpdfclients-industry//libraries/tcpdfgs-fedex.jpg): failed to open stream: No such file or directory in /libraries/tcpdf/tcpdf.php on line 3672
[12-Feb-2009 00:20:22] PHP Warning:  getimagesize(images//libraries/tcpdfstories//libraries/tcpdfquotes//libraries/tcpdfit-excellence.jpg): failed to open stream: No such file or directory in /libraries/tcpdf/tcpdf.php on line 3672
[12-Feb-2009 00:20:51] PHP Warning:  getimagesize(images//libraries/tcpdfstories//libraries/tcpdfquotes//libraries/tcpdfecci_ms_ourframework.gif): failed to open stream: No such file or directory in /libraries/tcpdf/tcpdf.php on line 3694
[12-Feb-2009 19:14:37] PHP Warning:  getimagesize(images//libraries/tcpdfstories//libraries/tcpdfquotes//libraries/tcpdfgreen_thecompany.gif): failed to open stream: No such file or directory in /libraries/tcpdf/tcpdf.php on line 3694
[14-Feb-2009 04:18:12] PHP Warning:  getimagesize(images//libraries/tcpdfstories//libraries/tcpdfclients-industry//libraries/tcpdfgm-cypress.jpg): failed to open stream: No such file or directory in /libraries/tcpdf/tcpdf.php on line 3672
[16-Feb-2009 15:09:52] PHP Warning:  getimagesize(images//libraries/tcpdfstories//libraries/tcpdfquotes//libraries/tcpdfgreen_thecompany.gif): failed to open stream: No such file or directory in /libraries/tcpdf/tcpdf.php on line 3694
[16-Feb-2009 15:15:07] PHP Warning:  getimagesize(images//libraries/tcpdfstories//libraries/tcpdfquotes//libraries/tcpdfconsulting.jpg): failed to open stream: No such file or directory in /libraries/tcpdf/tcpdf.php on line 3672
[17-Feb-2009 06:36:00] PHP Warning:  getimagesize(images//libraries/tcpdfstories//libraries/tcpdfquotes//libraries/tcpdfgreen_thecompany.gif): failed to open stream: No such file or directory in /libraries/tcpdf/tcpdf.php on line 3694
[17-Feb-2009 06:36:06] PHP Warning:  getimagesize(images//libraries/tcpdfstories//libraries/tcpdfquotes//libraries/tcpdfgreen_thecompany.gif): failed to open stream: No such file or directory in /libraries/tcpdf/tcpdf.php on line 3694
[19-Feb-2009 14:42:33] PHP Warning:  getimagesize(images//libraries/tcpdfstories//libraries/tcpdfclients-industry//libraries/tcpdfgs-fedex.jpg): failed to open stream: No such file or directory in /libraries/tcpdf/tcpdf.php on line 3672
[22-Feb-2009 16:51:53] PHP Warning:  fopen(images//libraries/tcpdfstories//libraries/tcpdfquotes//libraries/tcpdfecci_citibank.png): failed to open stream: No such file or directory in /libraries/tcpdf/tcpdf.php on line 3717
[22-Feb-2009 16:56:52] PHP Warning:  getimagesize(images//libraries/tcpdfstories//libraries/tcpdfclients-industry//libraries/tcpdfit-trendmicro.jpg): failed to open stream: No such file or directory in /libraries/tcpdf/tcpdf.php on line 3672
[24-Feb-2009 10:43:01] PHP Warning:  getimagesize(images//libraries/tcpdfsafethailogo.jpg): failed to open stream: No such file or directory in /libraries/tcpdf/tcpdf.php on line 3672
[02-Mar-2009 03:25:13] PHP Warning:  getimagesize(images//libraries/tcpdfstories//libraries/tcpdfquotes//libraries/tcpdfgreen_training.gif): failed to open stream: No such file or directory in /libraries/tcpdf/tcpdf.php on line 3694
[02-Mar-2009 03:39:01] PHP Warning:  getimagesize(images//libraries/tcpdfstories//libraries/tcpdfclients//libraries/tcpdfsg-hp.jpg): failed to open stream: No such file or directory in /libraries/tcpdf/tcpdf.php on line 3672
[03-Mar-2009 07:45:40] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[03-Mar-2009 07:45:40] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[03-Mar-2009 07:45:40] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[03-Mar-2009 07:45:40] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[03-Mar-2009 07:45:40] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[03-Mar-2009 07:45:40] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[03-Mar-2009 07:45:40] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[03-Mar-2009 07:45:40] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[03-Mar-2009 07:45:40] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[03-Mar-2009 07:45:40] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[03-Mar-2009 07:45:40] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[03-Mar-2009 07:45:40] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[03-Mar-2009 07:45:40] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[03-Mar-2009 07:45:40] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[03-Mar-2009 07:45:41] PHP Fatal error:  Allowed memory size of 52428800 bytes exhausted (tried to allocate 15488 bytes) in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 916
[03-Mar-2009 07:47:51] PHP Fatal error:  Allowed memory size of 52428800 bytes exhausted (tried to allocate 15488 bytes) in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 916
[03-Mar-2009 07:50:19] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[03-Mar-2009 07:50:19] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[03-Mar-2009 07:50:19] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[03-Mar-2009 07:50:19] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[03-Mar-2009 07:50:20] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[03-Mar-2009 07:50:20] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[03-Mar-2009 07:50:20] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[03-Mar-2009 07:50:20] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[03-Mar-2009 07:50:20] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[03-Mar-2009 07:50:21] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[03-Mar-2009 07:50:21] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[03-Mar-2009 07:50:21] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[03-Mar-2009 07:50:21] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[03-Mar-2009 07:57:45] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[03-Mar-2009 07:57:45] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[03-Mar-2009 07:57:45] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[03-Mar-2009 07:57:45] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[03-Mar-2009 07:57:45] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[03-Mar-2009 07:57:45] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[03-Mar-2009 07:57:45] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[03-Mar-2009 07:57:45] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[03-Mar-2009 07:57:45] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[03-Mar-2009 07:57:45] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[03-Mar-2009 07:57:45] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[03-Mar-2009 07:57:45] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[03-Mar-2009 07:57:45] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[03-Mar-2009 08:03:27] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[03-Mar-2009 08:03:27] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[03-Mar-2009 08:03:27] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[03-Mar-2009 08:03:27] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[03-Mar-2009 08:03:27] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[03-Mar-2009 08:03:27] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[03-Mar-2009 08:06:28] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
[03-Mar-2009 08:06:28] PHP Warning:  preg_replace(): Compilation failed: PCRE does not support \L, \l, \N, \P, \p, \U, \u, or \X at offset 3 in /administrator/components/com_phocagallery/helpers/phocagallery.php on line 1192
